GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AI Music Platform Backend,com.aimusic.backend.domain.entity,User.UserBuilder,12,35,0,0,0,1,1,6,1,6
AI Music Platform Backend,com.aimusic.backend.domain.entity,MusicStatus,0,33,0,0,0,6,0,1,0,1
AI Music Platform Backend,com.aimusic.backend.domain.entity,Music,550,123,113,1,18,22,71,22,14,22
AI Music Platform Backend,com.aimusic.backend.domain.entity,Music.MusicBuilder,39,93,0,0,0,1,2,14,2,14
AI Music Platform Backend,com.aimusic.backend.domain.entity,SunoMusic,515,3,94,0,14,1,75,1,28,1
AI Music Platform Backend,com.aimusic.backend.domain.entity,User,191,25,38,0,4,4,30,4,11,4
AI Music Platform Backend,com.aimusic.backend.domain.entity,SunoMusic.SunoMusicBuilder,111,0,0,0,1,0,14,0,14,0
AI Music Platform Backend,com.aimusic.backend.domain.enums,MusicStatus,0,33,0,0,0,6,0,1,0,1
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoStatusResponse.SunoStatusResponseBuilder,54,0,0,0,1,0,8,0,8,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoQuotaResponse.SunoQuotaResponseBuilder,27,0,0,0,1,0,5,0,5,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoStatusResponse,257,0,46,0,9,0,40,0,17,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoGenerateResponse,214,0,38,0,8,0,34,0,15,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoGenerateResponse.SunoGenerateResponseBuilder,45,0,0,0,1,0,7,0,7,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoGenerateRequest.SunoGenerateRequestBuilder,103,0,8,0,1,0,13,0,9,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoQuotaResponse,128,0,22,0,6,0,22,0,11,0
AI Music Platform Backend,com.aimusic.backend.domain.dto.suno,SunoGenerateRequest,282,0,42,0,10,0,44,0,23,0
